DATE,CARRIER_CODE,AIRPORT_CODE,TOTAL_FLIGHTS,DELAYED_FLIGHTS,CANCELLED_FLIGHTS,DIVERTED_FLIGHTS,PCT_DELAYED,PCT_CANCELLED,PCT_DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,TOTAL_DELAY_MIN
2025-06-01,9E,JAN,34.0,12.0,0,0,35.294117647058826,0.0,0.0,277.0,38.0,157.0,0.0,96.0,568.0
2025-06-01,9E,JAX,175.0,63.0,0,0,36.0,0.0,0.0,1348.0,0.0,1529.0,0.0,2651.0,5528.0
2025-06-01,9E,JFK,1861.0,489.0,0,0,26.276195593766793,0.0,0.0,10038.0,2790.0,22372.0,0.0,16529.0,51729.0
2025-06-01,9E,LEX,70.0,26.0,0,0,37.142857142857146,0.0,0.0,333.0,102.0,418.0,0.0,1598.0,2451.0
2025-06-01,9E,LFT,79.0,25.0,0,0,31.645569620253166,0.0,0.0,342.0,257.0,243.0,0.0,432.0,1274.0
2025-06-01,9E,LGA,2612.0,713.0,0,0,27.297090352220522,0.0,0.0,18032.0,5828.0,25638.0,0.0,28028.0,77526.0
2025-06-01,9E,LIT,31.0,18.0,0,0,58.06451612903226,0.0,0.0,548.0,59.0,322.0,0.0,555.0,1484.0
2025-06-01,9E,MCI,81.0,20.0,0,0,24.691358024691358,0.0,0.0,509.0,244.0,426.0,0.0,187.0,1366.0
2025-06-01,9E,MCO,3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,9E,MDT,72.0,17.0,0,0,23.61111111111111,0.0,0.0,419.0,132.0,185.0,0.0,588.0,1324.0
2025-06-01,9E,MDW,25.0,9.0,0,0,36.0,0.0,0.0,295.0,28.0,16.0,0.0,138.0,477.0
2025-06-01,9E,MEM,86.0,26.0,0,0,30.23255813953488,0.0,0.0,921.0,0.0,482.0,0.0,666.0,2069.0
2025-06-01,9E,MGM,71.0,21.0,0,0,29.577464788732392,0.0,0.0,752.0,50.0,245.0,0.0,372.0,1419.0
2025-06-01,9E,MKE,78.0,28.0,0,0,35.8974358974359,0.0,0.0,1121.0,0.0,426.0,0.0,960.0,2507.0
