DATE,CARRIER_CODE,AIRPORT_CODE,DELAY_CAUSE,DELAY_MINUTES
2025-06-01,9E,DTW,LATE_AIRCRAFT_DELAY,21207.0
2025-06-01,9E,DTW,NAS_DELAY,4446.0
2025-06-01,9E,DTW,SECURITY_DELAY,0.0
2025-06-01,9E,DTW,WEATHER_DELAY,1919.0
2025-06-01,9E,ECP,CARRIER_DELAY,0.0
2025-06-01,9E,ECP,LATE_AIRCRAFT_DELAY,0.0
2025-06-01,9E,ECP,NAS_DELAY,0.0
2025-06-01,9E,ECP,SECURITY_DELAY,0.0
2025-06-01,9E,ECP,WEATHER_DELAY,0.0
2025-06-01,9E,EVV,CARRIER_DELAY,484.0
2025-06-01,9E,EVV,LATE_AIRCRAFT_DELAY,1305.0
2025-06-01,9E,EVV,NAS_DELAY,467.0
2025-06-01,9E,EVV,SECURITY_DELAY,0.0
2025-06-01,9E,EVV,WEATHER_DELAY,244.0
2025-06-01,9E,EWR,CARRIER_DELAY,914.0
2025-06-01,9E,EWR,LATE_AIRCRAFT_DELAY,358.0
2025-06-01,9E,EWR,NAS_DELAY,426.0
2025-06-01,9E,EWR,SECURITY_DELAY,0.0
2025-06-01,9E,EWR,WEATHER_DELAY,0.0
2025-06-01,9E,FAR,CARRIER_DELAY,33.0
2025-06-01,9E,FAR,LATE_AIRCRAFT_DELAY,0.0
2025-06-01,9E,FAR,NAS_DELAY,7.0
2025-06-01,9E,FAR,SECURITY_DELAY,0.0
2025-06-01,9E,FAR,WEATHER_DELAY,0.0
2025-06-01,9E,FAY,CARRIER_DELAY,216.0
2025-06-01,9E,FAY,LATE_AIRCRAFT_DELAY,796.0
2025-06-01,9E,FAY,NAS_DELAY,182.0
2025-06-01,9E,FAY,SECURITY_DELAY,0.0
2025-06-01,9E,FAY,WEATHER_DELAY,109.0
2025-06-01,9E,FSD,CARRIER_DELAY,304.0
2025-06-01,9E,FSD,LATE_AIRCRAFT_DELAY,264.0
2025-06-01,9E,FSD,NAS_DELAY,33.0
2025-06-01,9E,FSD,SECURITY_DELAY,0.0
2025-06-01,9E,FSD,WEATHER_DELAY,0.0
2025-06-01,9E,GFK,CARRIER_DELAY,284.0
2025-06-01,9E,GFK,LATE_AIRCRAFT_DELAY,55.0
2025-06-01,9E,GFK,NAS_DELAY,71.0
2025-06-01,9E,GFK,SECURITY_DELAY,0.0
2025-06-01,9E,GFK,WEATHER_DELAY,223.0
2025-06-01,9E,GRB,CARRIER_DELAY,202.0
2025-06-01,9E,GRB,LATE_AIRCRAFT_DELAY,276.0
2025-06-01,9E,GRB,NAS_DELAY,19.0
2025-06-01,9E,GRB,SECURITY_DELAY,0.0
2025-06-01,9E,GRB,WEATHER_DELAY,25.0
2025-06-01,9E,GRR,CARRIER_DELAY,1114.0
2025-06-01,9E,GRR,LATE_AIRCRAFT_DELAY,836.0
2025-06-01,9E,GRR,NAS_DELAY,259.0
2025-06-01,9E,GRR,SECURITY_DELAY,0.0
2025-06-01,9E,GRR,WEATHER_DELAY,101.0
2025-06-01,9E,GSO,CARRIER_DELAY,1122.0
2025-06-01,9E,GSO,LATE_AIRCRAFT_DELAY,1421.0
2025-06-01,9E,GSO,NAS_DELAY,408.0
