DATE,AIRPORT_CODE,TOTAL_FLIGHTS,DELAYED_FLIGHTS,CANCELLED_FLIGHTS,DIVERTED_FLIGHTS,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,PCT_DELAYED,PCT_CANCELLED,PCT_DIVERTED
2025-06-01,BTV,844.0,237.0,0.0,0.0,12818.0,3148.0,3183.0,0.0,8240.0,28.080568720379144,0.0,0.0
2025-06-01,BUF,2322.0,738.0,0.0,0.0,16431.0,3747.0,7257.0,149.0,26597.0,31.782945736434108,0.0,0.0
2025-06-01,BUR,2704.0,680.0,0.0,0.0,13188.0,400.0,4383.0,45.0,23539.0,25.14792899408284,0.0,0.0
2025-06-01,BWI,8680.0,2385.0,0.0,0.0,41125.0,10081.0,39757.0,370.0,69569.0,27.476958525345623,0.0,0.0
2025-06-01,BZN,1269.0,314.0,0.0,0.0,6437.0,175.0,2342.0,0.0,9444.0,24.74389282899921,0.0,0.0
2025-06-01,CAE,959.0,316.0,0.0,0.0,6913.0,2385.0,4075.0,19.0,14477.0,32.95099061522419,0.0,0.0
2025-06-01,CAK,392.0,139.0,0.0,0.0,3934.0,1773.0,1448.0,0.0,5206.0,35.45918367346938,0.0,0.0
2025-06-01,CDC,52.0,1.0,0.0,0.0,35.0,0.0,5.0,0.0,0.0,1.9230769230769231,0.0,0.0
2025-06-01,CDV,60.0,11.0,0.0,0.0,40.0,0.0,22.0,0.0,305.0,18.333333333333332,0.0,0.0
2025-06-01,CHA,921.0,307.0,0.0,0.0,8456.0,2952.0,3341.0,0.0,9942.0,33.33333333333333,0.0,0.0
2025-06-01,CHO,603.0,179.0,0.0,0.0,6898.0,1680.0,1804.0,0.0,8508.0,29.684908789386398,0.0,0.0
2025-06-01,CHS,2511.0,752.0,0.0,0.0,17008.0,3088.0,10649.0,85.0,23488.0,29.948227797690162,0.0,0.0
2025-06-01,CID,828.0,233.0,0.0,0.0,6995.0,1920.0,2569.0,0.0,7247.0,28.140096618357486,0.0,0.0
2025-06-01,CIU,91.0,16.0,0.0,0.0,802.0,69.0,62.0,0.0,331.0,17.582417582417584,0.0,0.0
2025-06-01,CKB,32.0,12.0,0.0,0.0,94.0,192.0,205.0,0.0,560.0,37.5,0.0,0.0
2025-06-01,CLD,60.0,10.0,0.0,0.0,105.0,0.0,64.0,0.0,354.0,16.666666666666664,0.0,0.0
2025-06-01,CLE,3940.0,1183.0,0.0,0.0,29523.0,6370.0,14851.0,204.0,44389.0,30.0253807106599,0.0,0.0
2025-06-01,CLL,90.0,20.0,0.0,0.0,240.0,218.0,41.0,21.0,580.0,22.22222222222222,0.0,0.0
2025-06-01,CLT,20734.0,5553.0,0.0,0.0,146275.0,61129.0,88412.0,309.0,226800.0,26.78209703868043,0.0,0.0
